match_id,competition,season,date,kickoff_time,kickoff_datetime,stage_raw,stage,stage_order,matchday,group,leg,is_qualifier,neutral,home_team_id,away_team_id,home_team,away_team,home_team_raw,away_team_raw,home_country_code,away_country_code,home_goals,away_goals,home_goals_final,away_goals_final,home_goals_ht,away_goals_ht,home_penalty,away_penalty,decided_by,result,total_goals,goal_diff,btts,home_elo_pre,away_elo_pre,elo_diff_pre,home_matches_before,away_matches_before,score_raw,source_file,source_line,source_commit
UCL-2011-12-M-0034,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-manchester-city,ucl-villarreal-cf,Manchester City,Villarreal CF,Manchester City,Villarreal CF,ENG,ESP,2,1,2,1,1,1,,,Normal Time,H,3,1,1,1490.38,1480.38,75.0,2,2,2-1 (1-1),2011-12/cl.txt,17,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0035,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-ssc-napoli,ucl-bayern-munich,SSC Napoli,Bayern Munich,SSC Napoli,Bayern München,ITA,GER,1,1,1,1,1,1,,,Normal Time,D,2,0,1,1509.62,1519.62,55.0,2,2,1-1 (1-1),2011-12/cl.txt,18,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0036,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group B,group_stage,3,,B,not_applicable,0,0,ucl-lille-osc,ucl-inter-milan,Lille OSC,Inter Milan,Lille OSC,Inter,FRA,ITA,0,1,0,1,0,1,,,Normal Time,A,1,-1,0,1500.38,1500.38,65.0,2,2,0-1 (0-1),2011-12/cl.txt,39,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0037,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-fc-basel-1893,ucl-benfica,FC Basel 1893,Benfica,FC Basel 1893,SL Benfica,SUI,POR,0,2,0,2,0,1,,,Normal Time,A,2,-2,0,1509.82,1509.82,65.0,2,2,0-2 (0-1),2011-12/cl.txt,59,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0038,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-otelul-galati,ucl-manchester-united,Oţelul Galaţi,Manchester United,Oţelul Galaţi,Manchester United,ROU,ENG,0,2,0,2,0,0,,,Normal Time,A,2,-2,0,1480.18,1500.18,45.0,2,2,0-2 (0-0),2011-12/cl.txt,60,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0039,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-dinamo-zagreb,ucl-afc-ajax,Dinamo Zagreb,AFC Ajax,Dinamo Zagreb,AFC Ajax,CRO,NED,0,2,0,2,0,0,,,Normal Time,A,2,-2,0,1480.38,1490.38,55.0,2,2,0-2 (0-0),2011-12/cl.txt,80,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0040,UEFA Champions League,2011-12,2011-10-18,20:45,2011-10-18T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-real-madrid,ucl-olympique-lyonnais,Real Madrid,Olympique Lyonnais,Real Madrid,Olympique Lyonnais,ESP,FRA,4,0,4,0,1,0,,,Normal Time,H,4,4,0,1519.62,1509.62,75.0,2,2,4-0 (1-0),2011-12/cl.txt,81,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0041,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-bayer-leverkusen,ucl-valencia-cf,Bayer Leverkusen,Valencia CF,Bayer Leverkusen,Valencia CF,GER,ESP,2,1,2,1,0,1,,,Normal Time,H,3,1,1,1500.18,1500.18,65.0,2,2,2-1 (0-1),2011-12/cl.txt,101,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0042,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-chelsea-fc,ucl-krc-genk,Chelsea FC,KRC Genk,Chelsea FC,KRC Genk,ENG,BEL,5,0,5,0,4,0,,,Normal Time,H,5,5,0,1509.82,1489.82,85.0,2,2,5-0 (4-0),2011-12/cl.txt,102,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0043,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-olympiacos,ucl-borussia-dortmund,Olympiacos,Borussia Dortmund,Olympiakos Piraeus,Borussia Dortmund,GRE,GER,3,1,3,1,2,1,,,Normal Time,H,4,2,1,1480.38,1490.38,55.0,2,2,3-1 (2-1),2011-12/cl.txt,122,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0044,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-olympique-marseille,ucl-arsenal-fc,Olympique Marseille,Arsenal FC,Olympique Marseille,Arsenal FC,FRA,ENG,0,1,0,1,0,0,,,Normal Time,A,1,-1,0,1519.62,1509.62,75.0,2,2,0-1 (0-0),2011-12/cl.txt,123,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0045,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-fc-porto,ucl-apoel-nikosia,FC Porto,APOEL Nikosia,FC Porto,APOEL Nikosia,POR,CYP,1,1,1,1,1,1,,,Normal Time,D,2,0,1,1499.54,1509.54,55.0,2,2,1-1 (1-1),2011-12/cl.txt,143,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0046,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-shakhtar-donetsk,ucl-zenit-st-petersburg,Shakhtar Donetsk,Zenit St. Petersburg,Shakhtar Donetsk,Zenit St. Petersburg,UKR,RUS,2,2,2,2,2,1,,,Normal Time,D,4,0,1,1490.46,1500.46,55.0,2,2,2-2 (2-1),2011-12/cl.txt,144,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0047,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-ac-milan,ucl-bate-borisov,AC Milan,BATE Borisov,AC Milan,BATE Borisov,ITA,BLR,2,0,2,0,1,0,,,Normal Time,H,2,2,0,1509.9,1489.9,85.0,2,2,2-0 (1-0),2011-12/cl.txt,164,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0048,UEFA Champions League,2011-12,2011-10-19,20:45,2011-10-19T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-fc-barcelona,ucl-viktoria-plzen,FC Barcelona,Viktoria Plzeň,FC Barcelona,Viktoria Plzeň,ESP,CZE,2,0,2,0,1,0,,,Normal Time,H,2,2,0,1510.1,1490.1,85.0,2,2,2-0 (1-0),2011-12/cl.txt,165,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0049,UEFA Champions League,2011-12,2011-11-01,18:00,2011-11-01T18:00:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-zenit-st-petersburg,ucl-shakhtar-donetsk,Zenit St. Petersburg,Shakhtar Donetsk,Zenit St. Petersburg,Shakhtar Donetsk,RUS,UKR,1,0,1,0,1,0,,,Normal Time,H,1,1,0,1502.03,1488.89,78.14,3,3,1-0 (1-0),2011-12/cl.txt,146,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0050,UEFA Champions League,2011-12,2011-11-01,18:00,2011-11-01T18:00:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-bate-borisov,ucl-ac-milan,BATE Borisov,AC Milan,BATE Borisov,AC Milan,BLR,ITA,1,1,1,1,0,1,,,Normal Time,D,2,0,1,1482.3,1517.5,29.8,3,3,1-1 (0-1),2011-12/cl.txt,167,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0051,UEFA Champions League,2011-12,2011-11-01,20:45,2011-11-01T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-krc-genk,ucl-chelsea-fc,KRC Genk,Chelsea FC,KRC Genk,Chelsea FC,BEL,ENG,1,1,1,1,0,1,,,Normal Time,D,2,0,1,1482.22,1517.43,29.8,3,3,1-1 (0-1),2011-12/cl.txt,104,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
